Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Kim",Safe Email,yes,no,"The subject line ""Office maintenance"" is completely unrelated to the email body discussing ""analysis"" and ""PR comments,"" which is a common phishing tactic to mislead recipients or bypass filters.",85
"Hello, your profile has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: pin update password sign in settings password

Sincerely,
Riley Khan",Phishing Email,yes,yes,"Creates urgency, uses generic greeting, and prompts for verification via an external link, typical of credential harvesting or account takeover attempts.",95
"Hi there, congratulations! You are the winner of a refund. To collect your gift of $10,000, please provide your credit card to process the sum. This offer is available today only.

Keywords: million contest ssn

Security Team,
Alex Khan",Phishing Email,yes,yes,Requesting credit card details to receive a refund/gift is a classic advance-fee scam/phishing tactic.,100
"Attention, this is the fraud prevention accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: mcafee telegram violations official apple

Compliance Team,
Alex Martinez",Phishing Email,yes,yes,"Uses generic sender, creates false urgency, threatens account suspension, and demands immediate action.",95
"Notice, your profile has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password preferences settings

IT Desk,
Sam Singh",Phishing Email,yes,yes,"Creates urgency, requests sensitive data (2FA code), and impersonates IT to trick the user into clicking a malicious link.",100
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, expire, instantly, expires midnight, last chance, hurry

Support Desk,
Jamie Khan",Phishing Email,yes,yes,"Creates extreme urgency and fear of account expiration without specific details, typical of phishing.",100
"Subject: Training session notes

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Alex Khan",Safe Email,no,no,"No suspicious links, requests for sensitive information, or urgent calls to action. Appears to be standard professional communication.",95
"Subject: Meeting follow-up

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",Safe Email,yes,no,"The email states ""Here are links to references and the slide deck,"" but the provided content contains no actual links, which is a common deceptive tactic in phishing attempts.",85
"Subject: Research discussion

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Let me know if the timing works for you.

Best,
Taylor Wong",Safe Email,yes,no,"It deceptively claims an agenda is ""included below"" when no content is present, indicating a likely social engineering attempt.",80
"Attention, your account has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password profile two factor activation code passcode

Sincerely,
Riley Lee",Phishing Email,yes,yes,"Creates urgency with a restricted account claim, asks for password reset via a ""secure link"" (implied malicious), and demands 2FA code, all common phishing tactics to steal credentials.",100
"Subject: Classroom logistics

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Sam Martinez",Safe Email,no,no,"The email content, as provided, contains no malicious links, requests for sensitive information, or urgent/threatening language typical of phishing.",85
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: security question, recover account, password, log in, signin

Regards,
Jordan Patel",Phishing Email,yes,yes,"The email asks for multiple sensitive credentials (username, 2FA code, recovery key) directly, which is characteristic of credential harvesting.",95
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: afghanistan, love, oil rig

Regards,
Alex Khan",Phishing Email,yes,yes,"Classic ""stranded traveler"" scam, fabricating an urgent emergency (stolen wallet) to request a loan with a promise of quick repayment.",100
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: remembered you, sincere, doctor, soulmate, businessman

Support Desk,
Cameron Singh",Phishing Email,yes,yes,"Uses social engineering and a fabricated crisis (stolen wallet, stranded) to urgently request a financial ""loan"" with a promise of repayment.",100
"Hello, congratulations! You are the winner of a prize. To collect your payment of ₹80,000, please provide your credit card to process the total. This offer is available today only.

Keywords: winner deal reward million

Account Services,
Avery Garcia",Phishing Email,yes,yes,"Asks for credit card details to receive a payment, uses unsolicited prize notification, and creates false urgency.",100
"Subject: Onboarding checklist

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Feel free to add notes before we meet.

Best,
Avery Brown",Safe Email,no,no,"The email is generic, contains no suspicious links or attachments, and does not request sensitive information. It resembles a standard internal communication.",95
