Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Kim",Safe Email,no,no,"Email is a benign professional update on work tasks (analysis, PR changes) with no links, attachments, or requests for sensitive information; subject mismatch is odd but not indicative of phishing.",95
"Hello, your profile has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: pin update password sign in settings password

Sincerely,
Riley Khan",Phishing Email,yes,yes,"Creates urgency with locked account claim, prompts clicking a link and entering verification code/personal info, classic phishing to steal credentials; suspicious sender name.",95
"Hi there, congratulations! You are the winner of a refund. To collect your gift of $10,000, please provide your credit card to process the sum. This offer is available today only.

Keywords: million contest ssn

Security Team,
Alex Khan",Phishing Email,yes,yes,"Promises unsolicited large refund/gift and requests credit card details with urgency, classic scam tactic; keywords like ""ssn"" indicate sensitive info targeting.",100
"Attention, this is the fraud prevention accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: mcafee telegram violations official apple

Compliance Team,
Alex Martinez",Phishing Email,yes,yes,"Urgent threats of account suspension, impersonation of fraud prevention team, and suspicious unrelated keywords indicate a scam to trick users into clicking or providing info.",95
"Notice, your profile has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password preferences settings

IT Desk,
Sam Singh",Phishing Email,yes,yes,"Creates false urgency with restricted access claim, urges clicking a ""secure link"" and sharing 2FA code, common phishing tactics to steal credentials.",95
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, expire, instantly, expires midnight, last chance, hurry

Support Desk,
Jamie Khan",Phishing Email,yes,yes,"Creates artificial urgency with threats of account expiration and calls to immediate action without specific details, typical phishing tactics.",95
"Subject: Training session notes

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Alex Khan",Safe Email,no,no,"Email is a benign scheduling note about a lab booking and calendar invite, with no suspicious requests, links, or urgency typical of phishing.",98
"Subject: Meeting follow-up

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",Safe Email,no,no,"The email is a standard professional follow-up after a workshop, mentioning links without urgency, demands for info, or suspicious tactics.",98
"Subject: Research discussion

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Let me know if the timing works for you.

Best,
Taylor Wong",Safe Email,no,no,"Email is a standard professional message about a meeting agenda with no requests for sensitive information, links, or urgent demands typical of phishing.",98
"Attention, your account has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password profile two factor activation code passcode

Sincerely,
Riley Lee",Phishing Email,yes,yes,"Creates urgency with account restriction, prompts for 2FA code and link click, which legitimate services never request via email.",95
"Subject: Classroom logistics

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Sam Martinez",Safe Email,no,no,"The email is a benign professional message about sharing documentation and seeking feedback, lacking urgency, links, attachments, or requests for sensitive information typical of phishing.",98
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: security question, recover account, password, log in, signin

Regards,
Jordan Patel",Phishing Email,yes,yes,"Requests sensitive info like username, 2FA code, and recovery key via email, a common phishing tactic; no legitimate sender would do this.",95
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: afghanistan, love, oil rig

Regards,
Alex Khan",Phishing Email,yes,yes,"Email fabricates a personal emergency to solicit money, impersonating a contact; keywords like ""afghanistan, love, oil rig"" match common romance scam tactics.",95
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: remembered you, sincere, doctor, soulmate, businessman

Support Desk,
Cameron Singh",Phishing Email,yes,yes,"Email impersonates a personal contact to build false trust, fabricates an emergency (stolen wallet) to urgently request money with a vague repayment promise, classic scam tactic.",95
"Hello, congratulations! You are the winner of a prize. To collect your payment of ₹80,000, please provide your credit card to process the total. This offer is available today only.

Keywords: winner deal reward million

Account Services,
Avery Garcia",Phishing Email,yes,yes,"Unsolicited prize notification demanding credit card details for processing, using urgency and generic sender—classic scam tactics.",98
"Subject: Onboarding checklist

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Feel free to add notes before we meet.

Best,
Avery Brown",Safe Email,no,no,"Email is a benign internal team message about onboarding notes and a shared doc, lacking urgency, suspicious links, or requests for sensitive information.",98
"Hello, your account has been suspended. Use the secure link to update password and restore access. Enter your verification code to continue.

Keywords: authentication update password

IT Desk,
Taylor Brown",Phishing Email,yes,yes,"Creates urgency with account suspension, urges clicking a link to update password, and requests verification code—classic tactics to harvest credentials.",95
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: widow, charity gala, hotel, we met, money needed, transfer back

Regards,
Jordan Nguyen",Phishing Email,yes,yes,"Email impersonates a known contact, fabricates an emergency (stolen wallet) to urgently request money with a vague promise of repayment, matching common advance-fee scam patterns; keywords reinforce scam indicators like ""we met"" and ""money needed.""",95
"Subject: Project update

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Jamie Patel",Safe Email,no,no,"The email is a routine professional update about a project agenda, lacking any suspicious elements like urgent demands, links, attachments, or requests for personal information.",98
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: act now, expires soon, ends soon, today only

Security Team,
Jordan Khan",Phishing Email,yes,yes,"Creates artificial urgency with vague account expiration threats and calls to immediate action, typical phishing tactics to induce clicks or data sharing.",95
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: alert, click here, notice, secret

Security Team,
Sam Wong",Phishing Email,yes,yes,"Generic urgent notification urging clicks on link and attachment, mimicking auto-generated emails with suspicious keywords like ""click here"" and ""secret"".",95
"Notice, final warning. Failure to respond will block your account. Immediate action is required to avoid fine. Your case will be referred to the judge if unresolved.

Keywords: prosecution delete

Account Services,
Jordan Garcia",Phishing Email,yes,yes,"Email uses urgent threats of account blocking, fines, and legal referral without specifics, classic phishing tactic to induce panic and action.",95
"Subject: Invoice confirmation

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Riley Singh",Safe Email,no,no,"Email is a benign internal message about a lab booking with no suspicious requests, links, or urgency; subject mismatch is odd but not indicative of phishing.",95
"Subject: Documentation review

Thanks for attending the workshop. Here are links to references and the slide deck.

I'll share the slides later today.

Best,
Cameron Lee",Safe Email,no,no,"Email is a benign workshop follow-up mentioning future sharing of slides without any links, attachments, or suspicious requests.",98
